# 重复定位精度 RP | 轻载10Tr | 回程 ±10° | 每方向 2 预跑 + 30 循环
# 两列 CSP 位置工况，单位 = 输出侧相对角度 deg（后端把首点平移到当前实测位置，就地起测）。
# 回程 ±10°，逼近 15°/s，到位停 4s，每方向 2 预跑 + 30 循环。
# 总时长 405 s，跑完自动软停。
time,target
0.0000,0
0.6667,-10
1.6667,-10
2.3333,0
6.3333,0
7.0000,-10
8.0000,-10
8.6667,0
12.6667,0
13.3333,-10
14.3333,-10
15.0000,0
19.0000,0
19.6667,-10
20.6667,-10
21.3333,0
25.3333,0
26.0000,-10
27.0000,-10
27.6667,0
31.6667,0
32.3333,-10
33.3333,-10
34.0000,0
38.0000,0
38.6667,-10
39.6667,-10
40.3333,0
44.3333,0
45.0000,-10
46.0000,-10
46.6667,0
50.6667,0
51.3333,-10
52.3333,-10
53.0000,0
57.0000,0
57.6667,-10
58.6667,-10
59.3333,0
63.3333,0
64.0000,-10
65.0000,-10
65.6667,0
69.6667,0
70.3333,-10
71.3333,-10
72.0000,0
76.0000,0
76.6667,-10
77.6667,-10
78.3333,0
82.3333,0
83.0000,-10
84.0000,-10
84.6667,0
88.6667,0
89.3333,-10
90.3333,-10
91.0000,0
95.0000,0
95.6667,-10
96.6667,-10
97.3333,0
101.3333,0
102.0000,-10
103.0000,-10
103.6667,0
107.6667,0
108.3333,-10
109.3333,-10
110.0000,0
114.0000,0
114.6667,-10
115.6667,-10
116.3333,0
120.3333,0
121.0000,-10
122.0000,-10
122.6667,0
126.6667,0
127.3333,-10
128.3333,-10
129.0000,0
133.0000,0
133.6667,-10
134.6667,-10
135.3333,0
139.3333,0
140.0000,-10
141.0000,-10
141.6667,0
145.6667,0
146.3333,-10
147.3333,-10
148.0000,0
152.0000,0
152.6667,-10
153.6667,-10
154.3333,0
158.3333,0
159.0000,-10
160.0000,-10
160.6667,0
164.6667,0
165.3333,-10
166.3333,-10
167.0000,0
171.0000,0
171.6667,-10
172.6667,-10
173.3333,0
177.3333,0
178.0000,-10
179.0000,-10
179.6667,0
183.6667,0
184.3333,-10
185.3333,-10
186.0000,0
190.0000,0
190.6667,-10
191.6667,-10
192.3333,0
196.3333,0
197.0000,-10
198.0000,-10
198.6667,0
202.6667,0
203.3333,10
204.3333,10
205.0000,0
209.0000,0
209.6667,10
210.6667,10
211.3333,0
215.3333,0
216.0000,10
217.0000,10
217.6667,0
221.6667,0
222.3333,10
223.3333,10
224.0000,0
228.0000,0
228.6667,10
229.6667,10
230.3333,0
234.3333,0
235.0000,10
236.0000,10
236.6667,0
240.6667,0
241.3333,10
242.3333,10
243.0000,0
247.0000,0
247.6667,10
248.6667,10
249.3333,0
253.3333,0
254.0000,10
255.0000,10
255.6667,0
259.6667,0
260.3333,10
261.3333,10
262.0000,0
266.0000,0
266.6667,10
267.6667,10
268.3333,0
272.3333,0
273.0000,10
274.0000,10
274.6667,0
278.6667,0
279.3333,10
280.3333,10
281.0000,0
285.0000,0
285.6667,10
286.6667,10
287.3333,0
291.3333,0
292.0000,10
293.0000,10
293.6667,0
297.6667,0
298.3333,10
299.3333,10
300.0000,0
304.0000,0
304.6667,10
305.6667,10
306.3333,0
310.3333,0
311.0000,10
312.0000,10
312.6667,0
316.6667,0
317.3333,10
318.3333,10
319.0000,0
323.0000,0
323.6667,10
324.6667,10
325.3333,0
329.3333,0
330.0000,10
331.0000,10
331.6667,0
335.6667,0
336.3333,10
337.3333,10
338.0000,0
342.0000,0
342.6667,10
343.6667,10
344.3333,0
348.3333,0
349.0000,10
350.0000,10
350.6667,0
354.6667,0
355.3333,10
356.3333,10
357.0000,0
361.0000,0
361.6667,10
362.6667,10
363.3333,0
367.3333,0
368.0000,10
369.0000,10
369.6667,0
373.6667,0
374.3333,10
375.3333,10
376.0000,0
380.0000,0
380.6667,10
381.6667,10
382.3333,0
386.3333,0
387.0000,10
388.0000,10
388.6667,0
392.6667,0
393.3333,10
394.3333,10
395.0000,0
399.0000,0
399.6667,10
400.6667,10
401.3333,0
405.3333,0
